Epoch 061 | G_loss 0.6900, D_loss 1.2307 | D(x) 0.7104, D(G(z)) 0.5242
Epoch 062 | G_loss 0.6892, D_loss 1.2324 | D(x) 0.7120, D(G(z)) 0.5255
Epoch 063 | G_loss 0.6902, D_loss 1.2437 | D(x) 0.7027, D(G(z)) 0.5276
Epoch 064 | G_loss 0.6888, D_loss 1.2456 | D(x) 0.6993, D(G(z)) 0.5277
Epoch 065 | G_loss 0.6900, D_loss 1.2429 | D(x) 0.6987, D(G(z)) 0.5265
Epoch 066 | G_loss 0.6905, D_loss 1.2482 | D(x) 0.6948, D(G(z)) 0.5272
Epoch 067 | G_loss 0.6914, D_loss 1.2472 | D(x) 0.6932, D(G(z)) 0.5265
Epoch 068 | G_loss 0.6906, D_loss 1.2434 | D(x) 0.6969, D(G(z)) 0.5260
Epoch 069 | G_loss 0.6908, D_loss 1.2524 | D(x) 0.6892, D(G(z)) 0.5275
Epoch 070 | G_loss 0.6913, D_loss 1.2576 | D(x) 0.6848, D(G(z)) 0.5282, FID 220.59
Epoch 071 | G_loss 0.6919, D_loss 1.2595 | D(x) 0.6813, D(G(z)) 0.5279
Epoch 072 | G_loss 0.6924, D_loss 1.2640 | D(x) 0.6772, D(G(z)) 0.5286
Epoch 073 | G_loss 0.6925, D_loss 1.2650 | D(x) 0.6738, D(G(z)) 0.5280
Epoch 074 | G_loss 0.6924, D_loss 1.2456 | D(x) 0.6877, D(G(z)) 0.5246
Epoch 075 | G_loss 0.6911, D_loss 1.2675 | D(x) 0.6753, D(G(z)) 0.5293
Epoch 076 | G_loss 0.6935, D_loss 1.2740 | D(x) 0.6659, D(G(z)) 0.5288
Epoch 077 | G_loss 0.6932, D_loss 1.2716 | D(x) 0.6661, D(G(z)) 0.5283
Epoch 078 | G_loss 0.6937, D_loss 1.2747 | D(x) 0.6619, D(G(z)) 0.5279
Epoch 079 | G_loss 0.6941, D_loss 1.2794 | D(x) 0.6585, D(G(z)) 0.5288
Epoch 080 | G_loss 0.6947, D_loss 1.2714 | D(x) 0.6614, D(G(z)) 0.5266, FID 213.03
Epoch 081 | G_loss 0.6940, D_loss 1.2792 | D(x) 0.6576, D(G(z)) 0.5284
