Epoch 001 | G_loss 9.4636, D_loss 0.8484 | D(x) 0.8160, D(G(z)) 0.1869
Epoch 002 | G_loss 4.6658, D_loss 0.6810 | D(x) 0.8198, D(G(z)) 0.1773
Epoch 003 | G_loss 3.6767, D_loss 0.7880 | D(x) 0.7746, D(G(z)) 0.2206
Epoch 004 | G_loss 3.9187, D_loss 0.7117 | D(x) 0.7916, D(G(z)) 0.2069
Epoch 005 | G_loss 4.3909, D_loss 0.6282 | D(x) 0.8210, D(G(z)) 0.1759
Epoch 006 | G_loss 4.6301, D_loss 0.6122 | D(x) 0.8323, D(G(z)) 0.1651
Epoch 007 | G_loss 3.7343, D_loss 0.7564 | D(x) 0.7853, D(G(z)) 0.2123
Epoch 008 | G_loss 3.7383, D_loss 0.6211 | D(x) 0.8193, D(G(z)) 0.1784
Epoch 009 | G_loss 3.8345, D_loss 0.5743 | D(x) 0.8406, D(G(z)) 0.1582
Epoch 010 | G_loss 3.7977, D_loss 0.5916 | D(x) 0.8400, D(G(z)) 0.1593, FID 241.29
Epoch 011 | G_loss 3.8052, D_loss 0.5944 | D(x) 0.8294, D(G(z)) 0.1684
Epoch 012 | G_loss 3.5370, D_loss 0.6761 | D(x) 0.8099, D(G(z)) 0.1884
Epoch 013 | G_loss 3.2513, D_loss 0.7474 | D(x) 0.7954, D(G(z)) 0.2039
Epoch 014 | G_loss 3.1881, D_loss 0.7412 | D(x) 0.7899, D(G(z)) 0.2094
Epoch 015 | G_loss 3.0941, D_loss 0.7024 | D(x) 0.7950, D(G(z)) 0.2039
Epoch 016 | G_loss 3.0504, D_loss 0.7551 | D(x) 0.7887, D(G(z)) 0.2113
Epoch 017 | G_loss 2.8794, D_loss 0.7179 | D(x) 0.7955, D(G(z)) 0.2030
Epoch 018 | G_loss 2.9272, D_loss 0.7720 | D(x) 0.7918, D(G(z)) 0.2075
Epoch 019 | G_loss 2.9268, D_loss 0.6447 | D(x) 0.8048, D(G(z)) 0.1945
Epoch 020 | G_loss 2.9113, D_loss 0.7547 | D(x) 0.7889, D(G(z)) 0.2105, FID 214.92
Epoch 021 | G_loss 2.9167, D_loss 0.5666 | D(x) 0.8205, D(G(z)) 0.1786
Epoch 022 | G_loss 2.8502, D_loss 0.8007 | D(x) 0.7924, D(G(z)) 0.2077
Epoch 023 | G_loss 2.9358, D_loss 0.6312 | D(x) 0.8163, D(G(z)) 0.1838
Epoch 024 | G_loss 2.8804, D_loss 0.7061 | D(x) 0.8133, D(G(z)) 0.1859
Epoch 025 | G_loss 2.8342, D_loss 0.7749 | D(x) 0.8010, D(G(z)) 0.1985
Epoch 026 | G_loss 2.9183, D_loss 0.5510 | D(x) 0.8315, D(G(z)) 0.1682
Epoch 027 | G_loss 2.9769, D_loss 0.6809 | D(x) 0.8144, D(G(z)) 0.1851
Epoch 028 | G_loss 3.0176, D_loss 0.5806 | D(x) 0.8330, D(G(z)) 0.1659
Epoch 029 | G_loss 3.0592, D_loss 0.6469 | D(x) 0.8327, D(G(z)) 0.1683
Epoch 030 | G_loss 3.0796, D_loss 0.6829 | D(x) 0.8182, D(G(z)) 0.1816, FID 183.41
Epoch 031 | G_loss 3.0505, D_loss 0.4827 | D(x) 0.8488, D(G(z)) 0.1507
Epoch 032 | G_loss 3.1697, D_loss 0.5571 | D(x) 0.8439, D(G(z)) 0.1556
Epoch 033 | G_loss 3.1110, D_loss 0.6369 | D(x) 0.8411, D(G(z)) 0.1590
Epoch 034 | G_loss 3.2153, D_loss 0.5641 | D(x) 0.8509, D(G(z)) 0.1487
Epoch 035 | G_loss 3.2016, D_loss 0.4902 | D(x) 0.8644, D(G(z)) 0.1351
Epoch 036 | G_loss 3.3160, D_loss 0.5363 | D(x) 0.8559, D(G(z)) 0.1454
Epoch 037 | G_loss 3.3278, D_loss 0.5014 | D(x) 0.8598, D(G(z)) 0.1381
Epoch 038 | G_loss 3.1325, D_loss 0.7485 | D(x) 0.8317, D(G(z)) 0.1689
Epoch 039 | G_loss 3.2634, D_loss 0.5356 | D(x) 0.8521, D(G(z)) 0.1483
Epoch 040 | G_loss 3.4337, D_loss 0.4315 | D(x) 0.8801, D(G(z)) 0.1192, FID 172.84
Epoch 041 | G_loss 3.3589, D_loss 0.4458 | D(x) 0.8740, D(G(z)) 0.1259
Epoch 042 | G_loss 3.4518, D_loss 0.4807 | D(x) 0.8740, D(G(z)) 0.1261
Epoch 043 | G_loss 3.4744, D_loss 0.5222 | D(x) 0.8655, D(G(z)) 0.1335
Epoch 044 | G_loss 3.5800, D_loss 0.3149 | D(x) 0.8948, D(G(z)) 0.1052
Epoch 045 | G_loss 3.4462, D_loss 0.6174 | D(x) 0.8511, D(G(z)) 0.1496
Epoch 046 | G_loss 3.6409, D_loss 0.4391 | D(x) 0.8843, D(G(z)) 0.1154
Epoch 047 | G_loss 3.6487, D_loss 0.4442 | D(x) 0.8847, D(G(z)) 0.1150
Epoch 048 | G_loss 3.6550, D_loss 0.3986 | D(x) 0.8910, D(G(z)) 0.1080
Epoch 049 | G_loss 3.6276, D_loss 0.4906 | D(x) 0.8729, D(G(z)) 0.1276
Epoch 050 | G_loss 3.8214, D_loss 0.3832 | D(x) 0.8963, D(G(z)) 0.1034, FID 161.49
Epoch 051 | G_loss 3.7542, D_loss 0.4376 | D(x) 0.8939, D(G(z)) 0.1057
Epoch 052 | G_loss 3.7954, D_loss 0.3130 | D(x) 0.9020, D(G(z)) 0.0980
Epoch 053 | G_loss 3.6184, D_loss 0.6733 | D(x) 0.8540, D(G(z)) 0.1468
Epoch 054 | G_loss 3.8305, D_loss 0.2217 | D(x) 0.9209, D(G(z)) 0.0782
Epoch 055 | G_loss 3.8020, D_loss 0.5477 | D(x) 0.8754, D(G(z)) 0.1251
Epoch 056 | G_loss 3.7702, D_loss 0.3967 | D(x) 0.8864, D(G(z)) 0.1132
Epoch 057 | G_loss 3.8810, D_loss 0.4463 | D(x) 0.8902, D(G(z)) 0.1100
Epoch 058 | G_loss 3.9260, D_loss 0.2503 | D(x) 0.9233, D(G(z)) 0.0761
Epoch 059 | G_loss 3.6943, D_loss 0.4952 | D(x) 0.8693, D(G(z)) 0.1308
Epoch 060 | G_loss 4.0109, D_loss 0.3223 | D(x) 0.9066, D(G(z)) 0.0932, FID 156.12
Epoch 061 | G_loss 3.7553, D_loss 0.5299 | D(x) 0.8654, D(G(z)) 0.1346
Epoch 062 | G_loss 4.1272, D_loss 0.2068 | D(x) 0.9310, D(G(z)) 0.0686
Epoch 063 | G_loss 4.0387, D_loss 0.4532 | D(x) 0.8845, D(G(z)) 0.1159
Epoch 064 | G_loss 4.1253, D_loss 0.3312 | D(x) 0.9123, D(G(z)) 0.0877
Epoch 065 | G_loss 4.0629, D_loss 0.3656 | D(x) 0.9012, D(G(z)) 0.0984
Epoch 066 | G_loss 4.3101, D_loss 0.3191 | D(x) 0.9229, D(G(z)) 0.0782
Epoch 067 | G_loss 4.1768, D_loss 0.3069 | D(x) 0.9105, D(G(z)) 0.0881
Epoch 068 | G_loss 4.2439, D_loss 0.3708 | D(x) 0.9057, D(G(z)) 0.0939
Epoch 069 | G_loss 4.1928, D_loss 0.3274 | D(x) 0.9102, D(G(z)) 0.0901
